item_id,name,rarity,type,appearance_date
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-06 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-11-07 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-07 00:00:00+00:00
Glider_Venom,Wasp,uncommon,glider,2017-11-07 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-07 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-11-07 00:00:00+00:00
CID_013_Athena_Commando_F,Renegade,uncommon,outfit,2017-11-07 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-08 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-08 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-08 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-08 00:00:00+00:00
CID_009_Athena_Commando_M,Tracker,uncommon,outfit,2017-11-08 00:00:00+00:00
CID_013_Athena_Commando_F,Renegade,uncommon,outfit,2017-11-08 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-09 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-09 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-09 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-09 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-11-09 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-11-09 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-10 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-11-10 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-10 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-10 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-10 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-10 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-11 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-11 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-11 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-11-11 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-11 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-11 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-11-12 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-12 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-12 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-11-12 00:00:00+00:00
CID_022_Athena_Commando_F,Recon Expert,rare,outfit,2017-11-12 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-12 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-13 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-13 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-13 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-13 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-13 00:00:00+00:00
CID_013_Athena_Commando_F,Renegade,uncommon,outfit,2017-11-13 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-14 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-14 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-11-14 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-14 00:00:00+00:00
CID_009_Athena_Commando_M,Tracker,uncommon,outfit,2017-11-14 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-14 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-15 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-15 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-15 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-15 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-15 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-15 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-16 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-16 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-16 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-16 00:00:00+00:00
CID_014_Athena_Commando_F,Pathfinder ,uncommon,outfit,2017-11-16 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-16 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-17 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-17 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-17 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-17 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-17 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-17 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-11-18 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-18 00:00:00+00:00
CID_014_Athena_Commando_F,Pathfinder ,uncommon,outfit,2017-11-18 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-18 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-11-18 00:00:00+00:00
Glider_Venom,Wasp,uncommon,glider,2017-11-18 00:00:00+00:00
CID_014_Athena_Commando_F,Pathfinder ,uncommon,outfit,2017-11-19 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-19 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-19 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-19 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-19 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-19 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-20 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-11-20 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-20 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-20 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-20 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-20 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-21 00:00:00+00:00
CID_011_Athena_Commando_M,Scout,uncommon,outfit,2017-11-21 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-21 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-21 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-11-21 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-21 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-22 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-22 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-22 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-11-22 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-11-22 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-22 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-23 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-11-23 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-23 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-23 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-11-23 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-11-23 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-24 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-11-24 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-24 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-11-24 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-24 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-24 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-25 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-25 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-25 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-11-25 00:00:00+00:00
Pickaxe_Deathvalley,Death Valley,epic,pickaxe,2017-11-25 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-25 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-11-26 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-26 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-26 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-26 00:00:00+00:00
HalloweenScythe,Reaper,rare,pickaxe,2017-11-26 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-11-26 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-27 00:00:00+00:00
HalloweenScythe,Reaper,rare,pickaxe,2017-11-27 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-27 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-27 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-27 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-11-27 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-11-28 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-28 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-28 00:00:00+00:00
HalloweenScythe,Reaper,rare,pickaxe,2017-11-28 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-28 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-28 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-11-29 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-29 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-29 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-11-29 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-29 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-29 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-11-30 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-11-30 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-30 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-30 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-30 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-11-30 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-12-01 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-12-01 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-12-01 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-12-01 00:00:00+00:00
Glider_FlowerPOwer,Petunia,uncommon,glider,2017-12-01 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-01 00:00:00+00:00
CID_016_Athena_Commando_F,Commando ,uncommon,outfit,2017-12-02 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-12-02 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-12-02 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-12-02 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-02 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-12-02 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-12-03 00:00:00+00:00
Glider_Venom,Wasp,uncommon,glider,2017-12-03 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-03 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-12-03 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-03 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-03 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-04 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-12-04 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-12-04 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-04 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-12-04 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-04 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-12-05 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-05 00:00:00+00:00
CID_011_Athena_Commando_M,Scout,uncommon,outfit,2017-12-05 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-05 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-05 00:00:00+00:00
Glider_Venom,Wasp,uncommon,glider,2017-12-05 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-12-06 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-12-06 00:00:00+00:00
CID_011_Athena_Commando_M,Scout,uncommon,outfit,2017-12-06 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-12-06 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-06 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-06 00:00:00+00:00
CID_011_Athena_Commando_M,Scout,uncommon,outfit,2017-12-07 00:00:00+00:00
Glider_FlowerPOwer,Petunia,uncommon,glider,2017-12-07 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-12-07 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-12-07 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-07 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-07 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-12-07 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-07 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-08 00:00:00+00:00
Glider_FlowerPOwer,Petunia,uncommon,glider,2017-12-08 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-08 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-12-08 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-08 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-12-08 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-12-09 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-12-09 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-12-09 00:00:00+00:00
CID_024_Athena_Commando_F,Recon Specialist,rare,outfit,2017-12-09 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-09 00:00:00+00:00
CID_019_Athena_Commando_M,Infiltrator,rare,outfit,2017-12-09 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-12-10 00:00:00+00:00
CID_023_Athena_Commando_F,Munitions Expert,rare,outfit,2017-12-10 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-10 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-12-10 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-12-10 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-12-10 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-11 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-11 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-12-11 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-12-11 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-12-11 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-12-11 00:00:00+00:00
SickleBatPickaxe,Batsickle,rare,pickaxe,2017-12-12 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-12-12 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-12-12 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-12-12 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-12-12 00:00:00+00:00
BoltonPickaxe,Close Shave,rare,pickaxe,2017-12-12 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-12-13 00:00:00+00:00
Glider_Venom,Wasp,uncommon,glider,2017-12-13 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-12-13 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-12-13 00:00:00+00:00
Glider_Bold,Modern,uncommon,glider,2017-12-13 00:00:00+00:00
SpikyPickaxe,Spiky,rare,pickaxe,2017-12-13 00:00:00+00:00
EID_ElectroShuffle,Electro Shuffle,epic,emote,2017-12-14 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-12-14 00:00:00+00:00
Glider_Military,Warthog,uncommon,glider,2017-12-14 00:00:00+00:00
Glider_Flames,Hot Rod,uncommon,glider,2017-12-14 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-12-14 00:00:00+00:00
CID_049_Athena_Commando_M_HolidayGingerbread,Merry Marauder,epic,outfit,2017-12-14 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-12-14 00:00:00+00:00
Glider_Prismatic,Prismatic,rare,glider,2017-12-14 00:00:00+00:00
Pickaxe_ID_021_Megalodon,Tooth Pick,rare,pickaxe,2017-12-14 00:00:00+00:00
CID_048_Athena_Commando_F_HolidayGingerbread,Ginger Gunner,epic,outfit,2017-12-14 00:00:00+00:00
Glider_ID_009_CandyCoat,Gum Drop,rare,glider,2017-12-15 00:00:00+00:00
EID_SlowClap,Slow Clap,uncommon,emote,2017-12-15 00:00:00+00:00
CID_048_Athena_Commando_F_HolidayGingerbread,Ginger Gunner,epic,outfit,2017-12-15 00:00:00+00:00
CID_043_Athena_Commando_F_Stealth,Shadow Ops,epic,outfit,2017-12-15 00:00:00+00:00
CID_044_Athena_Commando_F_SciPop,Brite Bomber,rare,outfit,2017-12-15 00:00:00+00:00
CID_034_Athena_Commando_F_Medieval,Red Knight,legendary,outfit,2017-12-15 00:00:00+00:00
CID_034_Athena_Commando_F_Medieval,Red Knight,legendary,outfit,2017-12-16 00:00:00+00:00
Glider_ID_007_TurtleShell,Half Shell,rare,glider,2017-12-16 00:00:00+00:00
CID_046_Athena_Commando_F_HolidaySweater,Nog Ops,uncommon,outfit,2017-12-16 00:00:00+00:00
CID_043_Athena_Commando_F_Stealth,Shadow Ops,epic,outfit,2017-12-16 00:00:00+00:00
EID_Fresh,Fresh,epic,emote,2017-12-16 00:00:00+00:00
CID_049_Athena_Commando_M_HolidayGingerbread,Merry Marauder,epic,outfit,2017-12-16 00:00:00+00:00
CID_049_Athena_Commando_M_HolidayGingerbread,Merry Marauder,epic,outfit,2017-12-17 00:00:00+00:00
Pickaxe_ID_021_Megalodon,Tooth Pick,rare,pickaxe,2017-12-17 00:00:00+00:00
Glider_ID_005_HolidaySweater,Cozy Coaster,rare,glider,2017-12-17 00:00:00+00:00
CID_051_Athena_Commando_M_HolidayElf,Codename E.L.F.,rare,outfit,2017-12-17 00:00:00+00:00
CID_047_Athena_Commando_F_HolidayReindeer,Red-Nosed Raider,rare,outfit,2017-12-17 00:00:00+00:00
CID_048_Athena_Commando_F_HolidayGingerbread,Ginger Gunner,epic,outfit,2017-12-17 00:00:00+00:00
CID_047_Athena_Commando_F_HolidayReindeer,Red-Nosed Raider,rare,outfit,2017-12-18 00:00:00+00:00
CID_048_Athena_Commando_F_HolidayGingerbread,Ginger Gunner,epic,outfit,2017-12-18 00:00:00+00:00
CID_051_Athena_Commando_M_HolidayElf,Codename E.L.F.,rare,outfit,2017-12-18 00:00:00+00:00
CID_049_Athena_Commando_M_HolidayGingerbread,Merry Marauder,epic,outfit,2017-12-18 00:00:00+00:00
CID_042_Athena_Commando_M_Cyberpunk,Circuit Breaker,rare,outfit,2017-12-18 00:00:00+00:00
Glider_ID_005_HolidaySweater,Cozy Coaster,rare,glider,2017-12-18 00:00:00+00:00
CID_051_Athena_Commando_M_HolidayElf,Codename E.L.F.,rare,outfit,2017-12-19 00:00:00+00:00
CID_046_Athena_Commando_F_HolidaySweater,Nog Ops,uncommon,outfit,2017-12-19 00:00:00+00:00
